API Key,کلید API,
API Secret,API Secret,
About,درباره,
Access Token,توکن دسترسی,
Action,اقدام,
Action Type,نوع اقدام,
Active,فعال,
All,همه,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],یک فایل نماد با پسوند ico. باید 16 در 16 پیکسل باشد. با استفاده از یک ژنراتور فاویکون تولید شده است. [favicon-generator.org],
Apply To,درخواست به,
Apps,برنامه ها,
Assignment,تخصیص,
Attachments,پیوست ها,
Avatar,آواتار,
BCC,BCC,
Basic,پایه ای,
CANCELLED,لغو شده,
CC,CC,
Campaign,کمپین,
Client ID,شناسه مشتری,
Client Secret,راز مشتری,
Columns,ستون ها,
Comment,اظهار نظر,
Content,محتوا,
Created At,ایجاد شده در,
Created By,ایجاد شده توسط,
DRAFT,پیش‌نویس,
Description,شرح,
DocType,DocType,
Email,ایمیل,
Enabled,فعال,
End Date,تاریخ پایان,
Error,خطا,
Facebook,فیس بوک,
Failed,ناموفق,
Filters,فیلترها,
Form,فرم,
Frappe Support,پشتیبانی Frappe,
From User,از کاربر,
Full Name,نام و نام خانوادگی,
Group By,دسته بندی بر اساس,
Icon,آیکون,
Inactive,غیر فعال,
Is Default,پیش‌فرض است,
Is Standard,استاندارد است,
Kanban,کانبان,
Keyboard Shortcuts,میانبرهای صفحه کلید,
Label,برچسب,
List,لیست,
Location,محل,
Log out,خروج,
Mention,اشاره,
Message,پیام,
My Profile,نمایه من,
My Settings,تنظیمات من,
Name,نام,
New,جدید,
Phone,تلفن,
Public,عمومی,
Read,خواندن,
Recipients,گیرندگان,
Reference Doctype,نوع مرجع,
Refresh Token,Refresh Token,
Rejected,رد شده,
Reload,بارگذاری مجدد,
Result,نتیجه,
Sales Manager,مدیر فروش,
Sales User,کاربر فروش,
Script,اسکریپت,
Sender,فرستنده,
Session Defaults,پیش‌فرض‌های نشست,
Settings,تنظیمات,
Source,منبع,
Source Name,نام منبع,
Start Date,تاریخ شروع,
Status,وضعیت,
Subject,موضوع,
Success,موفقیت,
System Manager,مدیر سیستم,
Task,تسک,
Template,قالب,
Title,عنوان,
Title Field,فیلد عنوان,
To User,به کاربر,
Toggle Full Width,تغییر وضعیت عرض کامل,
Toggle Theme,تغییر تم,
Type,نوع,
User,کاربر,
View Website,مشاهده وب سایت,
list,فهرست,
