API Key,API клуч,
API Secret,API тајна,
Access Token,Пристап знак,
Action,Акција,
Action Type,Вид на акција,
Active,Активен,
All,Сите,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],Икона .ico датотека со наставката. Треба да биде 16 x 16 пиксели. Генерирани со користење на favicon генератор. [favicon-generator.org],
Assignment,доделување,
Attachments,Додатоци,
Avatar,Аватар,
BCC,BCC,
Basic,Основни,
CANCELLED,ОТКАЖАНО,
CC,CC,
Client ID,ID на клиентот,
Client Secret,клиент тајна,
Columns,колумни,
Comment,Коментар,
Content,Содржина,
Created By,Создадена од страна,
DRAFT,Нацрт,
Description,Опис,
DocType,ДокТип,
Email,Е-пошта,
Enabled,Овозможено,
End Date,Крај Датум,
Error,Грешка,
Facebook,Фејсбук,
Failed,Не успеа,
Filters,Филтри,
From User,Од корисник,
Full Name,Целосно име,
Group By,Група од,
Icon,Икона,
Inactive,Неактивен,
Is Default,Е стандардно,
Is Standard,Е стандард,
Kanban,Kanban,
Keyboard Shortcuts,Кратенки на тастатурата,
Label,Етикета,
List,Листа,
Location,Локација,
Mention,Споменете,
Message,Порака,
Name,Име,
New,Ново,
Phone,Телефон,
Public,Јавноста,
Pull,Повлечете,
Push,Притисни,
Read,Прочитајте,
Recipients,Примателите,
Reference Doctype,Референтен DOCTYPE,
Refresh Token,Освежи токен,
Rejected,Одбиени,
Reload,Вчитај ја страната повторно,
Sales Manager,Менаџер за продажба,
Sales User,Продажбата пристап,
Script,Скрипта,
Sender,Испраќачот,
Session Defaults,Сесија стандардно,
Settings,Подесувања,
Source,Извор,
Source Name,извор Име,
Start Date,Датум на почеток,
Status,Статус,
Subject,Предмет,
Success,Успех,
System Manager,Систем за менаџер,
Task,Задача,
Template,Шаблон,
Title,Наслов,
Title Field,Наслов на поле,
To User,До Корисник,
Type,Тип,
User,Корисник,
View Website,Преглед на веб-страница,
list,Листа,
