API Key,АПИ кључ,
API Secret,АПИ за Тајна,
About,O Nama,
Access Token,Приступ токен,
Action,Акција,
Action Type,Тип радње,
Active,Aktivan,
All,Svi,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],Икона датотеке са екстензијом .ицо. Требало би да буде 16 к 16 пк. Генератед користећи Фавицон Генератор. [фавицон-генератор.орг],
Assignment,Dodjeljivanje,
Attachments,Prilozi,
Avatar,Аватар,
BCC,БЦЦ,
Basic,основной,
CANCELLED,Отказан,
CC,КЗ,
Client ID,ИД клијента,
Client Secret,klijent Тајна,
Columns,kolone,
Comment,Komentar,
Content,Садржина,
Created By,Kreirao,
DRAFT,Драфт,
Description,Opis,
DocType,ДоцТипе,
Email,Email,
Enabled,Aktivan,
End Date,Datum završetka,
Error,Greška,
Facebook,facebook,
Failed,Није успео,
Filters,Филтери,
From User,Од корисника,
Full Name,Puno ime,
Group By,Група од,
Icon,Ицон,
Inactive,Неактиван,
Is Default,Да ли Уобичајено,
Is Standard,Је стандард,
Kanban,Kanban,
Keyboard Shortcuts,Пречице на тастатури,
Label,Налепница,
List,Lista,
Location,расположение,
Mention,Помињање,
Message,Poruka,
My Settings,Moja podešavanja,
Name,Име,
New,Novi,
Phone,Телефон,
Public,Јавност,
Pull,Повуците,
Push,Притисни,
Read,Читати,
Recipients,Примаоци,
Reference Doctype,Референтни ДоцТипе,
Refresh Token,рефресх токен,
Rejected,Одбијен,
Reload,Učitaj ponovo,
Sales Manager,Menadžer prodaje,
Sales User,Korisnik prodaje,
Script,Скрипта,
Sender,Пошиљалац,
Session Defaults,Задане поставке сесије,
Settings,Подешавања,
Source,Извор,
Source Name,извор Име,
Start Date,Datum početka,
Status,Status,
Subject,Naslov,
Success,Uspješno,
System Manager,Menadžer sistema,
Task,Задатак,
Template,Шаблон,
Title,Naslov,
Title Field,Название поля,
To User,Кориснику,
Type,Tip,
User,Korisnik,
View Website,Pogledaj sajt,
list,листа,
