API Key,API کلید,
API Secret,API خفیہ,
Access Token,رسائی کا ٹوکن,
Action,ایکشن,
Action Type,ایکشن کی قسم,
Active,ایکٹو,
All,سب,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],.ico توسیع کے ساتھ ایک آئکن فائل. 16 ایکس 16 پکسلز ہونا چاہئے. ایک ویب شبیہ جنریٹر استعمال کرتے ہوئے پیدا. [favicon-generator.org],
Assignment,تفویض,
Attachments,ملحقات,
Avatar,اوتار,
BCC,بی سی سی,
Basic,بنیادی,
CANCELLED,منسوخ,
CC,CC,
Client ID,کلائنٹ ID,
Client Secret,کلائنٹ خفیہ,
Columns,کالم,
Comment,تبصرہ,
Content,مواد,
Created By,بنائی گئی,
DRAFT,ڈرافٹ,
Description,تفصیل,
DocType,ڈاک ٹائپ,
Email,ای میل,
Enabled,فعال,
End Date,آخری تاریخ,
Error,خرابی,
Facebook,فیس بک,
Failed,ناکام,
Filters,فلٹرز,
From User,صارف سے,
Full Name,پورا نام,
Group By,گروپ بہ,
Icon,شبیہہ,
Inactive,غیر فعال,
Is Default,پہلے سے طے شدہ,
Is Standard,معیاری ہے,
Kanban,Kanban,
Keyboard Shortcuts,کی بورڈ شارٹ کٹس,
Label,لیبل,
List,فہرست,
Location,مقام,
Mention,ذکر کریں,
Message,پیغام,
Name,نام,
New,نئی,
Phone,فون,
Public,پبلک,
Pull,ھیںچو,
Push,پش,
Read,پڑھیں,
Recipients,وصول کنندگان,
Reference Doctype,حوالہ DOCTYPE,
Refresh Token,تازہ کریں ٹوکن,
Rejected,مسترد,
Reload,دوبارہ,
Sales Manager,منتظم سامان فروخت,
Sales User,سیلز صارف,
Script,سکرپٹ,
Sender,مرسل,
Session Defaults,سیشن ڈیفالٹس,
Settings,ترتیبات,
Source,ماخذ,
Source Name,ماخذ نام,
Start Date,شروع کرنے کی تاریخ,
Status,سٹیٹس,
Subject,موضوع,
Success,کامیابی,
System Manager,سسٹم مینیجر,
Task,ٹاسک,
Template,سانچہ,
Title,عنوان,
Title Field,عنوان کے خانے,
To User,صارف کو,
Type,قسم,
User,صارف,
View Website,سائٹ,
list,فہرست,
