1 hour ago,1 小时前,
1 minute ago,1 分钟前,
1 month ago,1 个月前,
1 week ago,1 周前,
1 year ago,1 年前,
API Key,API 密钥,
API Secret,API 密钥,
About,关于,
Access Token,访问令牌,
Action,操作,
Action Type,操作类型,
Active,活动,
Add Row,添加行,
Add column,添加列,
All,全部,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],.ico 格式的图标文件，应为 16 x 16 像素。可通过 favicon 生成器生成。[favicon-generator.org],
Apply To,应用于,
Apps,应用,
Assignment,分配任务,
Attachments,附件集,
Avatar,头像,
BCC,密送,
Basic,基础,
CANCELLED,已取消,
CC,抄送,
Campaign,营销活动,
Change,变更,
Change Password,修改密码,
Clear,清除,
Client ID,客户端ID,
Client Secret,客户端密钥,
Close,关闭,
Collapse,折叠,
Collapsible,可折叠,
Column,列,
Columns,列,
Comment,评论,
Confirm,确认,
Confirm Password,确认密码,
Contact,联系人,
Content,内容,
Create,创建,
Create New,新建,
Created At,创建于,
Created By,创建人,
Customization,自定义,
DRAFT,草稿,
Data,数据,
Delete,删除,
Description,描述,
Desk,辦公桌,
DocType,文档类型,
Edit,编辑,
Email,电子邮件,
Enable,启用,
Enabled,已启用,
End Date,结束日期,
Error,错误,
Expand,展开,
Facebook,Facebook,
Failed,失败,
Filters,过滤器,
Form,表单,
Frappe Support,Frappe支持,
From User,来自用户,
Full Name,全名,
Group By,分组依据,
Help,帮助,
Icon,图标,
Inactive,未激活,
Introduction,简介,
Is Default,是否为默认,
Is Standard,是否标准,
Kanban,看板,
Keyboard Shortcuts,键盘快捷键,
Label,标签,
List,列表,
Location,位置,
Log out,注销,
Mark all as read,全部标记为已读,
Mention,@提及,
Message,消息,
My Profile,我的档案,
My Settings,我的设置,
Name,名称,
New,新建,
New Password,新密码,
New {0},新建{0},
No,否,
No Data,无数据,
No new notifications,无新通知,
Not Saved,未保存,
Note,备注,
Notification,通知,
Notifications,通知,
Phone,电话,
Profile,个人资料,
Public,公共,
Pull,拉,
Push,推,
Read,读取,
Recipients,收件人列表,
Reference Doc,參考文檔,
Reference Doctype,参考文档类型,
Refresh Token,刷新令牌,
Rejected,已拒绝,
Reload,重新加载,
Remove column,移除列,
Remove section,移除段落,
Remove tab,移除标签页,
Reset,重置,
Restore,恢复,
Result,结果,
Sales Manager,销售经理,
Sales User,销售用户,
Save,保存,
Script,脚本,
Section,章节,
Select {0},选择{0},
Sender,发件人,
Session Defaults,会话默认值,
Settings,设置,
Source,源,
Source Name,来源名称,
Start Date,开始日期,
Status,状态,
Subject,主题,
Success,成功,
System Manager,系统管理员,
Task,任务,
Template,模板,
Title,标题,
Title Field,标题字段,
To User,接收用户,
Toggle Full Width,切换全宽模式,
Toggle Theme,切换主题,
Type,类型,
Update,更新,
User,用户,
View Website,查看网站,
Views,视图,
clear,清除,
delete,删除,
just now,刚刚,
label,标签, Số lượng ứng viên 
list,列表,
now,当前,
select,选择,
th,表头, Skills 
yesterday,昨日,
{0} M,{0}兆,
{0} d,{0}天,
{0} days ago,{0}天前,
{0} h,{0}小时,
{0} hours ago,{0}小时前,
{0} m,{0}分钟,
{0} minutes ago,{0}分钟前,
{0} months ago,{0}个月前,
{0} w,{0}周,
{0} weeks ago,{0}周前,
{0} y,{0}年,
{0} years ago,{0}年前,
